store_number ,phone_no,street_address,is_showcasestore,cityname,state
898,(594) 213-1184,12 Green Oak Way,0,Boston,CO
899,218-622-0619,738 Green First Avenue,0,Columbus,IL
900,329-344-6904,383 Cowley Road,0,Miami,NY
901,897-240-9328,76 White Nobel Drive,0,Greensboro,OH
902,985-319-1510,71 South Rocky Milton Drive,0,Jersey,NC
903,590-366-8863,709 White Hague Boulevard,0,Kansas,MI
904,(260) 648-3716,185 Green Nobel Blvd.,0,Seattle,ND
905,820-853-2952,65 White Fabien Street,0,Toledo,KY
906,,58 Clarendon Street,0,Garland,IA
907,(976) 955-5741,815 East Rocky Fabien Drive,0,Arlington,WA
908,631-963-7456,238 Green New Freeway,0,Minneapolis,OR
909,(309) 009-1160,46 South Green New Boulevard,0,Birmingham,TX
910,(637) 873-8727,24 Fabien Boulevard,0,Jackson,MD
911,(913) 420-8015,569 North Fabien Street,0,Corpus Christi,LA
912,290-299-7983,97 Rocky Fabien Freeway,0,Indianapolis,NE
913,211-666-8351,457 West Rocky Milton Boulevard,0,Miami,WA
914,(475) 037-7345,403 Green First Road,0,Glendale,CT
915,(444) 363-9790,568 Clarendon Way,0,Omaha,MD
916,(162) 689-4526,856 Hague Road,0,Santa Ana,UT
917,378-225-9376,751 Milton Road,0,Honolulu,GA
918,874-946-1384,68 Cowley Boulevard,0,Madison,SD
919,(999) 993-9781,242 South Oak Way,0,Madison,SC
920,782-122-0262,689 White Oak Boulevard,0,Sacramento,WA
921,643-714-4067,97 Milton Road,0,Indianapolis,MS
922,(861) 793-1732,66 White Clarendon Way,0,Aurora,NY
923,(871) 305-4035,707 North White New St.,0,Des Moines,RI
924,(424) 758-1756,144 White Old Blvd.,0,Santa Ana,LA
925,364-011-9944,329 Green Oak Boulevard,0,Boston,CO
926,(115) 767-2045,116 Nobel Way,0,Mesa,AK
927,631-001-6841,469 Hague Street,0,Oakland,ME
928,348-443-1292,26 West Rocky Oak Parkway,0,Spokane,NJ
929,339-571-8830,27 Nobel Drive,0,Yonkers,LA
930,(467) 005-1101,36 Old Street,0,Nashville,LA
931,(186) 465-8058,274 Green Old St.,0,Detroit,MN
932,609-194-5426,910 East Fabien Avenue,0,Fremont,PA
933,284-653-2566,25 Old Boulevard,0,Baltimore,NC
934,879-482-1600,23 Rocky Second Street,0,Miami,WA
935,(315) 700-5110,420 North Hague Freeway,0,Seattle,NM
936,(838) 126-5921,12 Cowley Blvd.,0,Baltimore,NC
937,(684) 366-0897,69 East White First Drive,0,Lubbock,ID
938,(181) 353-7599,922 White Nobel Avenue,0,Austin,TX
939,(665) 793-6567,54 Fabien Drive,0,Raleigh,TN
940,(394) 986-7876,181 Cowley Boulevard,0,Virginia Beach,CO
941,086-613-3302,102 Green Clarendon St.,0,Riverside,RI
942,(156) 554-0592,26 New Drive,0,Norfolk,MT
943,868-256-8218,19 Hague Way,0,St. Louis,RI
944,(603) 325-1001,17 Fabien Blvd.,0,New York,TX
945,(815) 335-5898,103 White Hague Freeway,0,Grand Rapids,MO
946,744-150-1185,938 South Fabien St.,0,Rochester,NV
947,(480) 239-6740,770 West White Milton Blvd.,0,Dayton,OK
948,(557) 524-5308,86 Second Blvd.,0,Nashville,IN
949,(035) 091-8763,250 Rocky Nobel Parkway,0,Garland,SD
950,(772) 004-3391,640 Rocky Old Blvd.,0,St. Louis,WY
951,(271) 116-2604,49 East Green Cowley Way,0,Madison,SD
952,698-840-0971,792 Oak Avenue,0,San Francisco,MD
953,(918) 744-6222,251 Cowley Parkway,0,Tulsa,HI
954,(460) 159-5836,867 Fabien Freeway,0,Norfolk,MT
955,616-723-7173,59 Green Milton Avenue,0,San Francisco,MS
956,(358) 063-9198,945 East Fabien Parkway,0,Dallas,WI
957,505-815-5341,822 Fabien Parkway,0,San Jose,IA
958,(889) 030-9669,187 Old Road,0,Arlington,WA
959,159-675-6652,987 Green Old St.,0,Newark,GA
960,(951) 606-2171,327 Rocky First Blvd.,0,Fort Worth,UT
961,184-143-4542,714 Clarendon Drive,0,Norfolk,MT
962,222-329-5739,43 Fabien Blvd.,0,Glendale,WI
963,370-205-1716,15 White Fabien Avenue,0,Denver,NV
964,(154) 248-9982,168 North White Second Road,0,Cincinnati,WV
965,374-826-5907,774 East White Second Road,0,Dayton,IL
966,046-802-2060,146 Green First Street,0,Tulsa,NM
967,(706) 484-3972,604 East New St.,0,Oakland,ME
968,(042) 748-3135,837 East First Road,0,Richmond,ND
969,(435) 928-3028,38 Rocky Hague Way,0,Rochester,NV
970,169-779-7037,769 West Green First Blvd.,0,Akron,MO
971,746-319-4929,912 Nobel Avenue,0,Hialeah,NM
972,023-514-1776,89 Hague Drive,0,Montgomery,VA
973,(644) 757-4347,45 Rocky First Road,0,Denver,WV
974,104-138-7323,689 Milton Blvd.,0,Baltimore,NC
975,291-743-4920,614 West Old St.,0,Santa Ana,UT
976,804-525-2051,645 Second Freeway,0,Pittsburgh,CO
977,619-775-1702,44 Rocky Hague Road,0,Toledo,SC
978,544-457-8485,244 Milton Road,0,New Orleans,IN
979,(611) 623-0830,23 Hague Avenue,0,Nashville,LA
980,876-436-5461,10 South Rocky Fabien Way,0,Fort Worth,MA
981,(245) 248-6455,96 Clarendon Way,0,Spokane,TN
982,457-948-7511,92 Hague Blvd.,0,Grand Rapids,MO
983,569-941-3181,714 Green Nobel Street,0,Lincoln,MN
984,(027) 433-6228,85 Green First Boulevard,0,Jackson,AZ
985,(600) 905-5054,32 Green First Drive,0,Miami,NY
986,(265) 000-7161,703 Rocky Fabien Road,0,Dallas,OK
987,(062) 308-1622,11 Rocky Milton Way,0,Boston,CO
988,(663) 347-6479,770 Fabien Boulevard,0,San Francisco,MD
989,(284) 698-8400,36 East Oak Parkway,0,Mesa,AK
990,(585) 788-7579,41 Rocky First Avenue,0,Akron,OH
991,973-071-2463,37 Rocky Cowley Avenue,0,Jersey,VT
992,(899) 485-9921,568 South Nobel St.,0,Garland,SD
993,(180) 188-1793,16 White Old Freeway,0,Virginia Beach,CO
994,601-602-5459,721 Old Boulevard,0,St. Paul,GA
995,(831) 501-4013,35 Oak St.,0,Dallas,OK
996,823-121-8741,84 Milton Avenue,0,Portland,NE
997,250-361-5077,37 Green Fabien Boulevard,0,Houston,OR
998,(603) 040-1482,174 Green First Drive,0,Grand Rapids,FL
999,434-180-9993,30 Old St.,0,Shreveport,TX
1000,633-082-4204,60 New Road,0,Anchorage,FL
